rule_code,category,section,all,any,none,priority,exclusive_group,is_fallback,is_active
WEALTH_INSEONG_MANY,WEALTH,DETAIL,SS_INSEONG_GTE_3,,,150,,N,Y
WEALTH_JAEDA_SINYAK_ADVICE,WEALTH,ADVICE,SS_JAESEONG_GTE_3 STR_WEAK_ANY,,,500,WEALTH_ADVICE,N,Y
WEALTH_ADVICE_WEAK,WEALTH,ADVICE,STR_WEAK_ANY,,,100,WEALTH_ADVICE,N,Y
WEALTH_ADVICE_BALANCED,WEALTH,ADVICE,STR_BALANCED,,,100,WEALTH_ADVICE,N,Y
WEALTH_ADVICE_STRONG,WEALTH,ADVICE,STR_STRONG_ANY,,,100,WEALTH_ADVICE,N,Y
CAREER_FALLBACK,CAREER,SUMMARY,,,,0,,Y,Y
CAREER_GYEOK_JEONGGWAN,CAREER,SUMMARY,GYEOK_JEONGGWAN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_PYEONGWAN,CAREER,SUMMARY,GYEOK_PYEONGWAN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_JEONGJAE,CAREER,SUMMARY,GYEOK_JEONGJAE,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_PYEONJAE,CAREER,SUMMARY,GYEOK_PYEONJAE,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_SIKSIN,CAREER,SUMMARY,GYEOK_SIKSIN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_SANGGWAN,CAREER,SUMMARY,GYEOK_SANGGWAN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_JEONGIN,CAREER,SUMMARY,GYEOK_JEONGIN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_PYEONIN,CAREER,SUMMARY,GYEOK_PYEONIN,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_GEONROK,CAREER,SUMMARY,GYEOK_GEONROK,,,100,CAREER_GYEOK,N,Y
CAREER_GYEOK_YANGIN,CAREER,SUMMARY,GYEOK_YANGIN,,,100,CAREER_GYEOK,N,Y
CAREER_SALIN_SANGSAENG,CAREER,DETAIL,SS_PYEONGWAN_GTE_1 SS_PYEONIN_GTE_1,,,350,,N,Y
CAREER_GWANIN_SANGSAENG,CAREER,DETAIL,SS_GWANSEONG_GTE_1 SS_INSEONG_GTE_1,,,300,,N,Y
CAREER_SIKSANG_SAENGJAE,CAREER,DETAIL,SS_SIKSANG_GTE_1 SS_JAESEONG_GTE_1,,,300,,N,Y
CAREER_SANGGWAN_GYEONGWAN,CAREER,DETAIL,SS_SANGGWAN_GTE_1 SS_JEONGGWAN_GTE_1,,,250,,N,Y
CAREER_GWAN_NONE,CAREER,DETAIL,SS_GWANSEONG_EQ_0,,,150,,N,Y
CAREER_BIGEOP_MANY,CAREER,DETAIL,SS_BIGEOP_GTE_3,,,150,,N,Y
CAREER_INSEONG_MANY,CAREER,DETAIL,SS_INSEONG_GTE_3,,,150,,N,Y
CAREER_STR_WEAK,CAREER,DETAIL,STR_WEAK_ANY,,,50,CAREER_STR,N,Y
CAREER_STR_BALANCED,CAREER,DETAIL,STR_BALANCED,,,50,CAREER_STR,N,Y
CAREER_STR_STRONG,CAREER,DETAIL,STR_STRONG_ANY,,,50,CAREER_STR,N,Y
CAREER_ADVICE_WEAK,CAREER,ADVICE,STR_WEAK_ANY,,,100,CAREER_ADVICE,N,Y
CAREER_ADVICE_BALANCED,CAREER,ADVICE,STR_BALANCED,,,100,CAREER_ADVICE,N,Y
CAREER_ADVICE_STRONG,CAREER,ADVICE,STR_STRONG_ANY,,,100,CAREER_ADVICE,N,Y
LOVE_FALLBACK,LOVE,SUMMARY,,,,0,,Y,Y
LOVE_SPOUSE_NONE,LOVE,SUMMARY,LOVE_SPOUSE_EQ_0,,,300,LOVE_CORE,N,Y
LOVE_SPOUSE_SOME,LOVE,SUMMARY,,,LOVE_SPOUSE_EQ_0 LOVE_SPOUSE_GTE_3,300,LOVE_CORE,N,Y
LOVE_SPOUSE_MANY,LOVE,SUMMARY,LOVE_SPOUSE_GTE_3,,,300,LOVE_CORE,N,Y
LOVE_GWANSAL_MIXED_F,LOVE,DETAIL,GENDER_F SS_JEONGGWAN_GTE_1 SS_PYEONGWAN_GTE_1,,,900,LOVE_STAR,N,Y
LOVE_JAE_MIXED_M,LOVE,DETAIL,GENDER_M SS_JEONGJAE_GTE_1 SS_PYEONJAE_GTE_1,,,900,LOVE_STAR,N,Y
LOVE_DAY_BRANCH_CLASH,LOVE,DETAIL,REL_DAY_BRANCH_CLASH,,,300,,N,Y
LOVE_DAYBR_BIGYEON,LOVE,DETAIL,DAYBR_BIGYEON,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_GEOBJAE,LOVE,DETAIL,DAYBR_GEOBJAE,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_SIKSIN,LOVE,DETAIL,DAYBR_SIKSIN,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_SANGGWAN,LOVE,DETAIL,DAYBR_SANGGWAN,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_PYEONJAE,LOVE,DETAIL,DAYBR_PYEONJAE,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_JEONGJAE,LOVE,DETAIL,DAYBR_JEONGJAE,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_PYEONGWAN,LOVE,DETAIL,DAYBR_PYEONGWAN,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_JEONGGWAN,LOVE,DETAIL,DAYBR_JEONGGWAN,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_PYEONIN,LOVE,DETAIL,DAYBR_PYEONIN,,,100,LOVE_DAYBR,N,Y
LOVE_DAYBR_JEONGIN,LOVE,DETAIL,DAYBR_JEONGIN,,,100,LOVE_DAYBR,N,Y
LOVE_DAY_BRANCH_CLASH_ADVICE,LOVE,ADVICE,REL_DAY_BRANCH_CLASH,,,300,LOVE_ADVICE,N,Y
LOVE_ADVICE_NONE,LOVE,ADVICE,LOVE_SPOUSE_EQ_0,,,100,LOVE_ADVICE,N,Y
LOVE_ADVICE_SOME,LOVE,ADVICE,,,LOVE_SPOUSE_EQ_0 LOVE_SPOUSE_GTE_3,100,LOVE_ADVICE,N,Y
LOVE_ADVICE_MANY,LOVE,ADVICE,LOVE_SPOUSE_GTE_3,,,100,LOVE_ADVICE,N,Y
DAEWOON_FALLBACK,DAEWOON,SUMMARY,,,,0,,Y,Y
DW_NEW_JAESEONG,DAEWOON,SUMMARY,DW_BRANCH_JAESEONG SS_JAESEONG_EQ_0,,,500,DW_CORE,N,Y
DW_NOW_BIGEOP,DAEWOON,SUMMARY,DW_STEM_BIGEOP,,,150,DW_CORE,N,Y
DW_NOW_SIKSANG,DAEWOON,SUMMARY,DW_STEM_SIKSANG,,,150,DW_CORE,N,Y
DW_NOW_JAESEONG,DAEWOON,SUMMARY,DW_STEM_JAESEONG,,,150,DW_CORE,N,Y
DW_NOW_GWANSEONG,DAEWOON,SUMMARY,DW_STEM_GWANSEONG,,,150,DW_CORE,N,Y
DW_NOW_INSEONG,DAEWOON,SUMMARY,DW_STEM_INSEONG,,,150,DW_CORE,N,Y
DW_FILLS_MISSING,DAEWOON,DETAIL,DW_FILLS_MISSING,,,500,,N,Y
DW_BRANCH_BIGEOP,DAEWOON,DETAIL,DW_BRANCH_BIGEOP,,,100,DW_BRANCH,N,Y
DW_BRANCH_SIKSANG,DAEWOON,DETAIL,DW_BRANCH_SIKSANG,,,100,DW_BRANCH,N,Y
DW_BRANCH_JAE,DAEWOON,DETAIL,DW_BRANCH_JAESEONG,,,100,DW_BRANCH,N,Y
DW_BRANCH_GWANSEONG,DAEWOON,DETAIL,DW_BRANCH_GWANSEONG,,,100,DW_BRANCH,N,Y
DW_BRANCH_INSEONG,DAEWOON,DETAIL,DW_BRANCH_INSEONG,,,100,DW_BRANCH,N,Y
DW_SEUN_BIGEOP,DAEWOON,DETAIL,SEUN_STEM_BIGEOP,,,90,DW_SEUN,N,Y
DW_SEUN_SIKSANG,DAEWOON,DETAIL,SEUN_STEM_SIKSANG,,,90,DW_SEUN,N,Y
DW_SEUN_JAESEONG,DAEWOON,DETAIL,SEUN_STEM_JAESEONG,,,90,DW_SEUN,N,Y
DW_SEUN_GWANSEONG,DAEWOON,DETAIL,SEUN_STEM_GWANSEONG,,,90,DW_SEUN,N,Y
DW_SEUN_INSEONG,DAEWOON,DETAIL,SEUN_STEM_INSEONG,,,90,DW_SEUN,N,Y
DW_TRANSITION,DAEWOON,ADVICE,DW_TRANSITION_SOON,,,300,DW_ADVICE,N,Y
DW_ADVICE_WEAK,DAEWOON,ADVICE,STR_WEAK_ANY,,,100,DW_ADVICE,N,Y
DW_ADVICE_BALANCED,DAEWOON,ADVICE,STR_BALANCED,,,100,DW_ADVICE,N,Y
DW_ADVICE_STRONG,DAEWOON,ADVICE,STR_STRONG_ANY,,,100,DW_ADVICE,N,Y
MT_FALLBACK,MATCH_TOTAL,SUMMARY,,,,0,,Y,Y
MT_EXCELLENT,MATCH_TOTAL,SUMMARY,MATCH_BAND_EXCELLENT,,,100,MT_CORE,N,Y
MT_GOOD,MATCH_TOTAL,SUMMARY,MATCH_BAND_GOOD,,,100,MT_CORE,N,Y
MT_FAIR,MATCH_TOTAL,SUMMARY,MATCH_BAND_FAIR,,,100,MT_CORE,N,Y
MT_EFFORT,MATCH_TOTAL,SUMMARY,MATCH_BAND_EFFORT,,,100,MT_CORE,N,Y
MT_D_FALLBACK,MATCH_TOTAL,DETAIL,,,,0,,Y,Y
MT_STEM_COMBINE,MATCH_TOTAL,DETAIL,MATCH_STEM_COMBINE,,,300,,N,Y
MT_STEM_CLASH,MATCH_TOTAL,DETAIL,MATCH_STEM_CLASH,,,300,,N,Y
MT_DAY_COMBINE,MATCH_TOTAL,DETAIL,MATCH_DAY_COMBINE,,,250,,N,Y
MT_DAY_CLASH,MATCH_TOTAL,DETAIL,MATCH_DAY_CLASH,,,250,,N,Y
MT_MUTUAL_COMPLEMENT,MATCH_TOTAL,DETAIL,MATCH_MUTUAL_COMPLEMENT,,,220,MT_OH,N,Y
MT_DAY_TRINE,MATCH_TOTAL,DETAIL,MATCH_DAY_TRINE,,,200,,N,Y
MT_A_GETS,MATCH_TOTAL,DETAIL,MATCH_A_GETS,,MATCH_MUTUAL_COMPLEMENT,150,MT_OH,N,Y
MT_B_GETS,MATCH_TOTAL,DETAIL,MATCH_B_GETS,,MATCH_MUTUAL_COMPLEMENT,150,MT_OH,N,Y
MT_YEAR_GOOD,MATCH_TOTAL,DETAIL,,MATCH_YEAR_COMBINE MATCH_YEAR_TRINE,,100,,N,Y
MT_YEAR_CLASH,MATCH_TOTAL,DETAIL,MATCH_YEAR_CLASH,,,100,,N,Y
MT_ADVICE_FALLBACK,MATCH_TOTAL,ADVICE,,,,0,,Y,Y
MT_ADVICE_WARM,MATCH_TOTAL,ADVICE,,MATCH_BAND_EXCELLENT MATCH_BAND_GOOD,,100,,N,Y
MT_ADVICE_EFFORT,MATCH_TOTAL,ADVICE,MATCH_BAND_EFFORT,,,100,,N,Y
MP_FALLBACK,MATCH_PERSONALITY,SUMMARY,,,,0,,Y,Y
MP_A_BIGEOP,MATCH_PERSONALITY,SUMMARY,MATCH_A_SEES_B_BIGEOP,,,100,MP_CORE,N,Y
MP_A_SIKSANG,MATCH_PERSONALITY,SUMMARY,MATCH_A_SEES_B_SIKSANG,,,100,MP_CORE,N,Y
MP_A_JAESEONG,MATCH_PERSONALITY,SUMMARY,MATCH_A_SEES_B_JAESEONG,,,100,MP_CORE,N,Y
MP_A_GWANSEONG,MATCH_PERSONALITY,SUMMARY,MATCH_A_SEES_B_GWANSEONG,,,100,MP_CORE,N,Y
MP_A_INSEONG,MATCH_PERSONALITY,SUMMARY,MATCH_A_SEES_B_INSEONG,,,100,MP_CORE,N,Y
MP_D_FALLBACK,MATCH_PERSONALITY,DETAIL,,,,0,,Y,Y
MP_SHARED_STRONG,MATCH_PERSONALITY,DETAIL,MATCH_SHARED_STRONG,,,150,,N,Y
MP_B_BIGEOP,MATCH_PERSONALITY,DETAIL,MATCH_B_SEES_A_BIGEOP,,,100,MP_B,N,Y
MP_B_SIKSANG,MATCH_PERSONALITY,DETAIL,MATCH_B_SEES_A_SIKSANG,,,100,MP_B,N,Y
MP_B_JAESEONG,MATCH_PERSONALITY,DETAIL,MATCH_B_SEES_A_JAESEONG,,,100,MP_B,N,Y
MP_B_GWANSEONG,MATCH_PERSONALITY,DETAIL,MATCH_B_SEES_A_GWANSEONG,,,100,MP_B,N,Y
MP_B_INSEONG,MATCH_PERSONALITY,DETAIL,MATCH_B_SEES_A_INSEONG,,,100,MP_B,N,Y
MP_ADVICE_FALLBACK,MATCH_PERSONALITY,ADVICE,,,,0,,Y,Y
MP_ADVICE_STRONG_WEAK,MATCH_PERSONALITY,ADVICE,MATCH_STR_STRONG_WEAK,,,100,MP_ADV,N,Y
MP_ADVICE_BOTH_STRONG,MATCH_PERSONALITY,ADVICE,MATCH_STR_BOTH_STRONG,,,100,MP_ADV,N,Y
MP_ADVICE_BOTH_WEAK,MATCH_PERSONALITY,ADVICE,MATCH_STR_BOTH_WEAK,,,100,MP_ADV,N,Y
ML_FALLBACK,MATCH_LOVE,SUMMARY,,,,0,,Y,Y
ML_BOTH_SPOUSE,MATCH_LOVE,SUMMARY,MATCH_A_SPOUSE MATCH_B_SPOUSE,,,300,ML_CORE,N,Y
ML_A_SPOUSE,MATCH_LOVE,SUMMARY,MATCH_A_SPOUSE,,MATCH_B_SPOUSE,200,ML_CORE,N,Y
ML_B_SPOUSE,MATCH_LOVE,SUMMARY,MATCH_B_SPOUSE,,MATCH_A_SPOUSE,200,ML_CORE,N,Y
ML_NO_SPOUSE,MATCH_LOVE,SUMMARY,,,MATCH_SPOUSE_LINK,100,ML_CORE,N,Y
ML_D_FALLBACK,MATCH_LOVE,DETAIL,,,,0,,Y,Y
